dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,zorder_ms,zorder_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california_real,A_nearby,66,SELECT AVG(MedInc) FROM data WHERE place = 'Palo Alto',26.788,5.7754,175.3193,5.7754,139.5175,5.7754,174.0284,5.7754,6.5,7.04,PASS
california_real,A_nearby,67,SELECT AVG(MedInc) FROM data WHERE place = 'Mountain View',31.8523,5.489,173.0946,5.489,129.5063,5.489,160.7884,5.489,5.05,10.7,PASS
california_real,A_nearby,68,SELECT AVG(MedInc) FROM data WHERE place = 'Sunnyvale' AND MedHouseVal >= 4.0,8.2105,7.0748,159.0615,7.0748,6.2653,7.0748,170.1167,7.0748,20.72,3.39,PASS
california_real,A_nearby,69,SELECT AVG(AveRooms) FROM data WHERE place = 'Sunnyvale',37.6185,5.2088,186.0887,5.2088,127.4533,5.2088,166.6102,5.2088,4.43,10.7,PASS
california_real,A_nearby,70,SELECT AVG(AveRooms) FROM data WHERE place = 'Palo Alto' AND MedInc >= 8.0,7.4956,7.5655,167.9959,7.5655,126.2035,7.5655,180.0613,7.5655,24.02,3.38,PASS
california_real,A_nearby,71,SELECT AVG(HouseAge) FROM data WHERE place = 'Sunnyvale',30.1749,26.729,169.8092,26.729,137.3647,26.729,171.9035,26.729,5.7,10.7,PASS
california_real,A_nearby,72,SELECT AVG(HouseAge) FROM data WHERE place = 'Mountain View' AND MedInc >= 6.0,6.4377,31.0992,180.2413,31.0992,129.9706,31.0992,179.132,31.0992,27.83,3.38,PASS
california_real,A_nearby,73,SELECT SUM(Population) FROM data WHERE place = 'Sunnyvale',29.287,18256183.0117,170.944,18256183.0117,137.1717,18256183.0117,165.8001,18256183.0117,5.66,10.7,PASS
california_real,A_nearby,74,SELECT SUM(Population) FROM data WHERE place = 'Mountain View',29.744,16494669.9454,169.034,16494669.9454,125.3313,16494669.9454,171.0224,16494669.9454,5.75,10.7,PASS
california_real,A_nearby,75,SELECT SUM(Population) FROM data WHERE place = 'Palo Alto',14.9829,13931847.9309,168.2528,13931847.9309,140.0417,13931847.9309,172.544,13931847.9309,11.52,7.04,PASS
california_real,A_nearby,76,SELECT SUM(Population) FROM data WHERE place = 'Cupertino',29.5893,15871712.8709,176.0848,15871712.8709,155.2106,15871712.8709,176.1169,15871712.8709,5.95,10.7,PASS
california_real,A_nearby,77,SELECT SUM(Population) FROM data WHERE place = 'Sunnyvale' AND AveOccup <= 3.0,26.6606,15700990.6605,186.4525,15700990.6605,137.1635,15700990.6605,182.143,15700990.6605,6.83,8.68,PASS
california_real,A_nearby,78,SELECT SUM(Population) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 5.0,7.4244,7599012.2777,181.1216,7599012.2777,129.7347,7599012.2777,159.9501,7599012.2777,21.54,3.38,PASS
california_real,A_nearby,79,SELECT SUM(Population) FROM data WHERE place = 'Palo Alto' AND MedHouseVal >= 4.0,6.1265,5899343.2472,165.5116,5899343.2472,6.5829,5899343.2472,160.3573,5899343.2472,26.17,2.68,PASS
california_real,B_far,1,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles',207.2888,749645.0,192.5782,749645,137.7534,749645,166.9086,749645.0,0.81,59.29,PASS
california_real,B_far,2,SELECT COUNT(*) FROM data WHERE place = 'Irvine',38.1954,25452.0,165.4384,25452,115.7629,25452,167.3022,25452.0,4.38,13.65,PASS
california_real,B_far,3,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista',41.085,23542.0,183.1325,23542,115.9889,23542,161.5832,23542.0,3.93,14.82,PASS
california_real,B_far,4,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 5.0,113.0579,198386.0,186.5335,198386,124.9254,198386,166.4092,198386.0,1.47,28.05,PASS
california_real,B_far,5,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 7.0,110.2301,59076.0,175.0035,59076,129.5652,59076,175.8722,59076.0,1.6,28.05,PASS
california_real,B_far,6,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 9.0,96.4017,21131.0,172.4537,21131,88.8835,21131,167.621,21131.0,1.74,28.05,PASS
california_real,B_far,7,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedInc >= 5.0,20.3352,11364.0,171.9787,11364,128.1805,11364,175.4861,11364.0,8.63,7.1,PASS
california_real,B_far,8,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedInc >= 8.0,19.4201,2898.0,169.5609,2898,88.4877,2898,174.4395,2898.0,8.98,7.1,PASS
california_real,B_far,9,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND MedInc >= 6.0,19.6168,725.0,200.7797,725,119.4776,725,172.378,725.0,8.79,7.1,PASS
california_real,B_far,10,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND MedInc >= 9.0,20.2187,0.0,163.2781,0,77.3218,0,163.7482,0.0,8.1,7.1,PASS
california_real,B_far,11,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 6.0,97.0709,110338.0,181.6177,110338,131.2152,110338,172.0299,110338.0,1.77,28.05,PASS
